id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11247546,Valletta house close to the sea,58544863,Martin,,Valletta,35.90119,14.51419,Entire home/apt,91,3,132,2022-09-21,1.68,1,290,34,
6639979,Gozo new apartment+pool+free wifi,34752947,Mariella & Fabian,,Ghajnsielem,36.02285,14.29212,Entire home/apt,136,3,136,2022-09-19,1.55,1,365,20,
650571791292950630,Charming Room in Sliema Creek Guesthouse,2442805,Aaron,,Sliema,35.90844,14.50613,Private room,78,3,1,2022-08-09,0.61,82,357,1,
53772088,Two bedrooms apartment minutes away from the sea,42689401,Damien,,San Giljan,35.91233,14.48731,Entire home/apt,145,2,6,2022-09-03,2.57,1,174,6,
15525396,Portomaso Apartment with Marina views,97515098,John,,San Giljan,35.92082,14.49163,Entire home/apt,150,3,21,2022-09-17,0.40,1,251,8,
678291119797305207,Lovely 3 bedroom qawra wifi AC parking,1803880,Ian,,San Pawl il-Bahar,35.94982,14.42022,Entire home/apt,190,7,0,,,2,261,0,
50987352,Central Modern Apartment w/ AC,191017062,Matt,,Gzira,35.9034,14.4929,Entire home/apt,181,3,6,2022-08-30,0.43,2,12,2,
13612852,Family/Group Seafront Apt with large yard and bbq,1419619,GetawaysMalta,,San Pawl il-Bahar,35.94547,14.38656,Entire home/apt,269,3,16,2022-08-20,0.21,32,164,4,
45092655,"Large Double room, friendly apt, mins to Valletta",21145532,Derek,,Msida,35.89546,14.48673,Private room,36,2,22,2022-09-06,0.94,1,65,10,
619455034023755608,"Luxurious, Modern & Large 3 Bedroom Apartment.",457447315,Portia,,Mellieha,35.957867,14.362141,Entire home/apt,145,2,8,2022-08-12,2.14,1,343,8,
604002611892118288,Private Room with ensuite in Rental Unit with Yard,194556478,Martina,,Gzira,35.907791,14.492976,Private room,59,2,3,2022-09-19,3,4,148,3,
649005065628847237,Best location in Sliema (1B),195391434,Gordon,,Sliema,35.90794,14.51,Entire home/apt,68,3,3,2022-08-30,0.92,2,32,3,
596891573212798704,Double bedroom with private terrace  new brand,219295017,Juan,,Gzira,35.905663,14.489093,Private room,42,1,4,2022-09-08,0.74,6,333,4,
50742417,Bayside Apartment Green 2,398870821,Jane,,Swieqi,35.921867,14.485895,Entire home/apt,101,4,4,2022-07-23,0.76,19,298,4,
12773882,Catamaran Lagoon 410 for charter,69501632,Keith,,San Pawl il-Bahar,35.95236,14.38855,Entire home/apt,850,1,8,2019-08-12,0.10,1,365,0,
590434544868213705,Modern 1 bedroom apartment,451215459,Ana,,Floriana,35.893105,14.503216,Entire home/apt,83,5,19,2022-09-24,4.91,9,136,19,
3730203,Valletta Beautiful corner apartment,1008571,The Warehouse Group Letting,,Valletta,35.89444,14.51311,Entire home/apt,108,3,111,2022-09-15,1.12,10,306,7,
37605492,"Ta' Martin Farmhouse - Holiday Home In Gozo, Malta",201720555,Your.Rentals,,Xewkija,36.03051,14.25756,Entire home/apt,120,1,2,2022-09-11,2,4,87,2,
24362029,Central Malta  Private bedroom bathroom   Free w f,168183387,Janice,,Msida,35.89439,14.4873,Private room,39,1,196,2022-09-11,3.68,1,338,62,
26790795,La Rive Smart Sea View Apartment Best Location!,49468077,Nigel,,Sliema,35.90858,14.50633,Entire home/apt,180,3,67,2021-11-16,1.35,11,49,3,
716697962630145368,Private Bathroom & BigSize Beds near Valetta,470906922,Rabia,,Pieta,35.89242,14.49515,Private room,46,2,0,,,7,348,0,
48108025,Spacious & Central APT SLP 10 just off the coast ☀️,385341680,ThreeSIXTY Estates,,Gzira,35.90335,14.49132,Entire home/apt,91,3,4,2022-07-06,0.26,282,355,2,
31573230,Aria Penthouse Gozo,48647692,Tania (Antonella),,Xaghra,36.054778146668944,14.260392660636576,Entire home/apt,124,3,19,2022-09-24,0.44,1,89,13,
